NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
527,신한은행,000010,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
751,동화약품,000020,C,B,C,C,2025,,,,,4,6,4,4
413,우리은행,000030,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
999,KR모터스,000040,D,C,D,D,2025,,,,,2,4,2,2
900,경방,000050,C,C,D,C,2025,,,,,4,4,2,4
703,메리츠화재해상보험,000060,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
620,삼양홀딩스,000070,B+,A,A,B,2025,,,,,7,8,8,6
145,하이트진로,000080,B,B+,A,C,2025,,,,,6,7,8,4
373,유한양행,000100,A,B+,A+,A,2025,,,,,8,7,9,8
134,한국스탠다드차타드은행,000110,등급없음,등급없음,등급없음,A+,2025,,,,,0,0,0,9
1078,CJ대한통운,000120,B,A,A+,C,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),6,8,9,4
144,하이트진로홀딩스,000140,C,B+,A,C,2025,,,,,4,7,8,4
750,두산,000150,A,A,A+,B+,2025,,,,,8,8,9,7
577,성창기업지주,000180,D,C,D,D,2025,,,,,2,4,2,2
1066,DL,000210,A,A+,A,A,2025,,,사회 등급조정(2026.01.),,8,9,8,8
378,유유제약,000220,D,D,C,D,2025,,,,,2,2,4,2
339,일동홀딩스,000230,A,A,A+,B+,2025,,,,,8,8,9,7
132,한국앤컴퍼니,000240,B,B+,A+,C,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),6,7,9,4
609,삼천당제약,000250,D,D,D,C,2025,,,,,2,2,2,4
864,기아,000270,B+,A+,A,B,2025,통합 등급조정(2026.01.),,사회 등급조정(2026.01.),,7,9,8,6
1068,DH오토넥스,000300,D,D,D,D,2025,,,,,2,2,2,2
841,노루홀딩스,000320,B+,A,A+,B,2025,,,,,7,8,9,6
67,한화손해보험,000370,A,A+,A,B+,2025,,,,,8,9,8,7
601,삼화페인트공업,000390,B+,B+,B+,B+,2025,,,,,7,7,7,7
727,롯데손해보험,000400,B+,B+,A,B+,2025,,,,,7,7,8,7
806,대원강업,000430,A,B+,A,A,2025,,,,,8,7,8,8
546,시알홀딩스,000480,C,B+,A,D,2025,,,,,4,7,8,2
822,대동,000490,A,A,A+,B+,2025,,,,,8,8,9,7
911,가온전선,000500,B+,A,A+,B,2025,,,,,7,8,9,6
612,삼일제약,000520,C,B,C,C,2025,,,,,4,6,4,4
2,흥국화재,000540,B+,B+,B,B+,2025,,,,,7,7,6,7
1074,CS홀딩스,000590,C,D,D,B,2025,,,,,4,2,2,6
767,동아쏘시오홀딩스,000640,A,A,A+,A,2025,,,,,8,8,9,8
279,천일고속,000650,C,C,D,C,2025,,,,,4,4,2,4
931,SK하이닉스,000660,A,A,A+,B+,2025,,,,,8,8,9,7
431,영풍,000670,B,B,A,C,2025,,,,,6,6,8,4
980,LS네트웍스,000680,C,B,B+,C,2025,,,,,4,6,7,4
381,유수홀딩스,000700,B+,B,A,B+,2025,,,,,7,6,8,7
57,현대건설,000720,A,A,A+,A,2025,,,,,8,8,9,8
353,이화산업,000760,D,D,D,D,2025,,,,,2,2,2,2
627,삼성화재해상보험,000810,A,A,A+,A,2025,,,,,8,8,9,8
17,화천기공,000850,C,D,C,C,2025,,,,,4,2,4,4
909,강남제비스코,000860,B+,B+,A,B+,2025,,,,,7,7,8,7
70,한화,000880,A,A,A,B+,2025,,,,,8,8,8,7
663,보해양조,000890,D,D,D,C,2025,,,,,2,2,2,4
386,유니온,000910,C,C,C,C,2025,,,,,4,4,4,4
324,전방,000950,D,C,D,D,2025,,,,,2,4,2,2
124,한국주철관공업,000970,D,C,D,D,2025,,,,,2,4,2,2
1069,DB하이텍,000990,B+,B+,A,B+,2025,,,,,7,7,8,7
180,페이퍼코리아,001020,D,C,D,D,2025,,,,,2,4,2,2
1082,CJ,001040,B+,A,A+,B,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),7,8,9,6
1019,JW중외제약,001060,B+,B+,A,B+,2025,,,,,7,7,8,7
798,대한방직,001070,D,C,D,D,2025,,,,,2,4,2,2
711,만호제강,001080,D,D,D,D,2025,,,,,2,2,2,2
974,LX인터내셔널,001120,A,B+,A,A,2025,,,,,8,7,8,8
793,대한제분,001130,C,C,C,C,2025,,,,,4,4,4,4
879,국보,001140,D,C,D,D,2025,,,,,2,4,2,2
376,유진증권,001200,B+,B,A,B,2025,,,,지배구조 등급조정(2025.11.),7,6,8,6
868,금호전기,001210,D,C,C,D,2025,,,,,2,4,4,2
775,동국홀딩스,001230,B+,B+,A,B+,2025,,,,,7,7,8,7
1052,GS글로벌,001250,A,B+,A,A,2025,,,,,8,7,8,8
858,남광토건,001260,D,C,D,D,2025,,,,,2,4,2,2
661,부국증권,001270,C,D,C,B,2025,,,,,4,2,4,6
600,상상인증권,001290,B,D,B,B,2025,,,,,6,2,6,6
960,PKC,001340,D,C,D,D,2025,,,,,2,4,2,2
632,삼성제약,001360,D,D,D,D,2025,,,,,2,2,2,2
951,SG글로벌,001380,D,C,D,D,2025,,,,,2,4,2,2
1004,KG케미칼,001390,C,B+,B+,D,2025,,,,,4,7,7,2
208,태원물산,001420,D,D,D,D,2025,,,,,2,2,2,2
573,세아베스틸지주,001430,A,A,A,A,2025,,,,,8,8,8,8
796,대한전선,001440,A,A,A,B+,2025,,,,,8,8,8,7
31,현대해상,001450,A,A+,A,A,2025,,,,,8,9,8,8
1083,BYC,001460,D,D,D,C,2025,,,,,2,2,2,4
38,현대차증권,001500,A,A,A+,B+,2025,,,,,8,8,9,7
934,SK증권,001510,A,A+,A+,B+,2025,,,,,8,9,9,7
764,동양,001520,B+,A,A+,B,2025,,,,,7,8,9,6
739,디아이동일,001530,D,D,C,D,2025,,,,,2,2,4,2
306,조비,001550,D,D,C,D,2025,,,,,2,2,4,2
314,제일연마,001560,C,C,C,C,2025,,,,,4,4,4,4
872,금양,001570,D,C,D,D,2025,,,,,2,4,2,2
262,케이비아이동국실업,001620,D,C,C,D,2025,,,,,2,4,4,2
299,종근당홀딩스,001630,A,A,A,A,2025,,,,,8,8,8,8
818,대상,001680,B+,A,A+,B,2025,,,,,7,8,9,6
533,신영증권,001720,B+,B+,A,B+,2025,,,,,7,7,8,7
942,SK네트웍스,001740,A,A,A+,A,2025,,,,,8,8,9,8
87,한양증권,001750,B,D,B,B,2025,,,,,6,2,6,6
949,SHD,001770,D,D,D,C,2025,,,,,2,2,2,4
482,알루코,001780,C,C,B,C,2025,,,,,4,4,6,4
794,대한제당,001790,D,C,C,D,2025,,,,,2,4,4,2
425,오리온홀딩스,001800,B+,B+,A,B+,2025,,,,,7,7,8,7
602,삼화콘덴서공업,001820,C,C,C,C,2025,,,,,4,4,4,4
1002,KISCO홀딩스,001940,C,C,B,D,2025,,,,,4,4,6,2
236,코오롱,002020,B+,B+,A,B,2025,,,,,7,7,8,6
505,아세아,002030,B+,B+,A,B+,2025,,,,,7,7,8,7
654,비비안,002070,D,D,D,D,2025,,,,,2,2,2,2
904,경농,002100,D,C,D,D,2025,,,,,2,4,2,2
894,고려산업,002140,D,D,D,C,2025,,,,,2,2,2,4
779,도화엔지니어링,002150,C,C,C,C,2025,,,,,4,4,4,4
622,삼양통상,002170,D,D,D,C,2025,,,,,2,2,2,4
136,한국수출포장공업,002200,C,C,C,B,2025,,,,,4,4,4,6
769,동성제약,002210,D,D,D,D,2025,,,,,2,2,2,2
82,한일철강,002220,D,D,D,D,2025,,,,,2,2,2,2
892,고려제강,002240,D,C,D,D,2025,,,,,2,4,2,2
503,아세아제지,002310,B+,B+,A,B,2025,,,,,7,7,8,6
76,한진,002320,A,A,A,B+,2025,,,,,8,8,8,7
848,넥센타이어,002350,B,A,A+,C,2025,,,,,6,8,9,4
948,SH에너지화학,002360,C,C,D,B,2025,,,,,4,4,2,6
258,케이씨씨,002380,B,B+,A,C,2025,,,,,6,7,8,4
109,한독,002390,A,A,A+,B+,2025,,,,,8,8,9,7
668,범양건영,002410,D,D,D,D,2025,,,,,2,2,2,2
576,세기상사,002420,C,D,D,B,2025,,,,,4,2,2,6
614,삼익악기,002450,D,D,D,D,2025,,,,,2,2,2,2
1025,HS화성,002460,C,C,B,B,2025,,,,,4,4,6,6
1014,KB손해보험,002550,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
302,조흥,002600,C,B,C,C,2025,,,,,4,6,4,4
313,제일파마홀딩스,002620,B+,B,A,B+,2025,,,,,7,6,8,7
427,오리엔트바이오,002630,D,D,D,D,2025,,,,,2,2,2,2
754,동일제강,002690,C,C,D,C,2025,,,,,4,4,2,4
531,신일전자,002700,D,D,D,D,2025,,,,,2,2,2,2
918,TCC스틸,002710,B+,B+,A,B,2025,,,,,7,7,8,6
877,국제약품,002720,D,D,D,C,2025,,,,,2,2,2,4
666,보락,002760,D,D,D,D,2025,,,,,2,2,2,2
283,진흥기업,002780,D,D,C,C,2025,,,,,2,2,4,4
506,아모레퍼시픽홀딩스,002790,A,A,A+,A,2025,,,,,8,8,9,8
618,삼영무역,002810,C,D,D,B,2025,,,,,4,2,2,6
919,SUN&L,002820,C,C,C,B,2025,,,,,4,4,4,6
677,미원상사,002840,C,C,D,B,2025,,,,,4,4,2,6
530,신풍,002870,D,D,D,D,2025,,,,,2,2,2,2
802,대유에이텍,002880,C,C,B,C,2025,,,,,4,4,6,4
916,TYM,002900,C,B+,A,D,2025,,,,,4,7,8,2
382,유성기업,002920,C,C,C,C,2025,,,,,4,4,4,4
135,한국쉘석유,002960,C,D,C,B,2025,,,,,4,2,4,6
871,금호건설,002990,C,B,C,C,2025,,,사회 등급조정(2026.01.),,4,6,4,4
662,부광약품,003000,B+,B+,A,B+,2025,,,,,7,7,8,7
28,혜인,003010,D,D,D,D,2025,,,,,2,2,2,2
571,세아제강지주,003030,C,B+,A,C,2025,,,,,4,7,8,4
455,에이프로젠바이오로직스,003060,D,C,D,D,2025,,,,,2,4,2,2
234,코오롱글로벌,003070,B+,B+,B+,B+,2025,,,,,7,7,7,7
955,SB성보,003080,D,D,C,C,2025,,,,,2,2,4,4
808,대웅,003090,B,A,A+,C,2025,,,,,6,8,9,4
337,일성아이에스,003120,D,D,D,D,2025,,,,,2,2,2,2
740,디아이,003160,D,C,C,D,2025,,,,,2,4,4,2
336,일신방직,003200,D,C,C,D,2025,,,,,2,4,4,2
804,대원제약,003220,A,B+,A+,B+,2025,,,,,8,7,9,7
