종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명,ETF_ID,시가총액 구성비중_정규화
000720,현대건설,150.00,22470000,22290000,0.0239,KODEX_200ESG,KODEX_200ESG,0.0239191353082466
402340,SK스퀘어,39.00,21216000,19851000,0.0213,KODEX_200ESG,KODEX_200ESG,0.021317053642914332
010120,LS ELECTRIC,24.00,19224000,18600000,0.0199,KODEX_200ESG,KODEX_200ESG,0.01991593274619696
055550,신한지주,191.00,17858500,17209100,0.018500000000000003,KODEX_200ESG,KODEX_200ESG,0.018514811849479586
105560,KB금융,118.00,17959600,17180800,0.0184,KODEX_200ESG,KODEX_200ESG,0.018414731785428344
005380,현대차,36.00,17820000,16884000,0.0181,KODEX_200ESG,KODEX_200ESG,0.01811449159327462
000660,SK하이닉스,19.00,17518000,16653500,0.0179,KODEX_200ESG,KODEX_200ESG,0.01791433146517214
009150,삼성전기,38.00,16492000,16416000,0.0176,KODEX_200ESG,KODEX_200ESG,0.017614091273018415
017670,SK텔레콤,209.00,16699100,16302000,0.0175,KODEX_200ESG,KODEX_200ESG,0.017514011208967176
086790,하나금융지주,146.00,16118400,15622000,0.0168,KODEX_200ESG,KODEX_200ESG,0.016813450760608487
005490,POSCO홀딩스,45.00,15435000,15367500,0.0165,KODEX_200ESG,KODEX_200ESG,0.016513210568454766
005930,삼성전자,87.00,15633900,15312000,0.016399999999999998,KODEX_200ESG,KODEX_200ESG,0.01641313050440352
316140,우리금융지주,455.00,15288000,14719250,0.0158,KODEX_200ESG,KODEX_200ESG,0.01581265012009608
028260,삼성물산,55.00,14795000,14272500,0.015300000000000001,KODEX_200ESG,KODEX_200ESG,0.015312249799839873
034730,SK,44.00,14696000,14256000,0.015300000000000001,KODEX_200ESG,KODEX_200ESG,0.015312249799839873
032830,삼성생명,65.00,14495000,14121250,0.0151,KODEX_200ESG,KODEX_200ESG,0.01511208967173739
005830,DB손해보험,86.00,14869400,14121200,0.0151,KODEX_200ESG,KODEX_200ESG,0.01511208967173739
267260,HD현대일렉트릭,16.00,14640000,13984000,0.015,KODEX_200ESG,KODEX_200ESG,0.01501200960768615
000270,기아,90.00,14022000,13554000,0.014499999999999999,KODEX_200ESG,KODEX_200ESG,0.014511609287429943
086280,현대글로비스,63.00,14584500,13545000,0.014499999999999999,KODEX_200ESG,KODEX_200ESG,0.014511609287429943
000150,두산,12.00,14436000,13416000,0.0144,KODEX_200ESG,KODEX_200ESG,0.014411529223378704
096770,SK이노베이션,117.00,13033800,13162500,0.0141,KODEX_200ESG,KODEX_200ESG,0.01411128903122498
028050,삼성E&A,392.00,12975200,13112400,0.0141,KODEX_200ESG,KODEX_200ESG,0.01411128903122498
006400,삼성SDI,31.00,12570500,12756500,0.0137,KODEX_200ESG,KODEX_200ESG,0.013710968775020017
016360,삼성증권,131.00,12785600,12366400,0.013300000000000001,KODEX_200ESG,KODEX_200ESG,0.013310648518815053
207940,삼성바이오로직스,8.00,12848000,12256000,0.0131,KODEX_200ESG,KODEX_200ESG,0.013110488390712572
267250,HD현대,50.00,12875000,12200000,0.0131,KODEX_200ESG,KODEX_200ESG,0.013110488390712572
030200,KT,200.00,12160000,12000000,0.0129,KODEX_200ESG,KODEX_200ESG,0.012910328262610089
323410,카카오뱅크,493.00,12152450,11955250,0.0128,KODEX_200ESG,KODEX_200ESG,0.012810248198558848
035420,NAVER,57.00,12112500,11770500,0.0126,KODEX_200ESG,KODEX_200ESG,0.012610088070456365
003230,삼양식품,10.00,11830000,11740000,0.0126,KODEX_200ESG,KODEX_200ESG,0.012610088070456365
138040,메리츠금융지주,102.00,11872800,11689200,0.0125,KODEX_200ESG,KODEX_200ESG,0.012510008006405124
011200,HMM,603.00,11854980,11680110,0.0125,KODEX_200ESG,KODEX_200ESG,0.012510008006405124
003670,포스코퓨처엠,53.00,11077000,11368500,0.012199999999999999,KODEX_200ESG,KODEX_200ESG,0.0122097678142514
068270,셀트리온,55.00,11330000,11055000,0.011899999999999999,KODEX_200ESG,KODEX_200ESG,0.011909527622097677
066570,LG전자,102.00,11424000,11016000,0.0118,KODEX_200ESG,KODEX_200ESG,0.011809447558046438
005940,NH투자증권,356.00,12193000,11000400,0.0118,KODEX_200ESG,KODEX_200ESG,0.011809447558046438
009830,한화솔루션,298.00,10623700,10891900,0.011699999999999999,KODEX_200ESG,KODEX_200ESG,0.011709367493995195
090430,아모레퍼시픽,76.00,10974400,10662800,0.011399999999999999,KODEX_200ESG,KODEX_200ESG,0.011409127301841472
329180,HD현대중공업,22.00,10967000,10527000,0.0113,KODEX_200ESG,KODEX_200ESG,0.011309047237790231
036570,엔씨소프트,47.00,10810000,10340000,0.0111,KODEX_200ESG,KODEX_200ESG,0.011108887109687752
373220,LG에너지솔루션,25.00,9862500,10131250,0.0109,KODEX_200ESG,KODEX_200ESG,0.010908726981585268
010950,S-Oil,92.00,10092400,10074000,0.0108,KODEX_200ESG,KODEX_200ESG,0.010808646917534028
259960,크래프톤,40.00,10180000,10000000,0.010700000000000001,KODEX_200ESG,KODEX_200ESG,0.010708566853482787
012330,현대모비스,25.00,10212500,9875000,0.0106,KODEX_200ESG,KODEX_200ESG,0.010608486789431545
035720,카카오,199.00,9711200,9353000,0.01,KODEX_200ESG,KODEX_200ESG,0.010008006405124099
000810,삼성화재,21.00,9303000,9324000,0.01,KODEX_200ESG,KODEX_200ESG,0.010008006405124099
010140,삼성중공업,375.00,9750000,9187500,0.009899999999999999,KODEX_200ESG,KODEX_200ESG,0.009907926341072858
009540,HD한국조선해양,26.00,9542000,8996000,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135
018260,삼성에스디에스,59.00,9221700,8991600,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135
011070,LG이노텍,29.00,9294500,8975500,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135
034220,LG디스플레이,805.00,9257500,8935500,0.0096,KODEX_200ESG,KODEX_200ESG,0.009607686148919135
000100,유한양행,90.00,9036000,8793000,0.009399999999999999,KODEX_200ESG,KODEX_200ESG,0.009407526020816652
047050,포스코인터내셔널,116.00,8642000,8700000,0.009300000000000001,KODEX_200ESG,KODEX_200ESG,0.009307445956765413
047040,대우건설,498.00,8595480,8645280,0.009300000000000001,KODEX_200ESG,KODEX_200ESG,0.009307445956765413
024110,기업은행,366.00,8619300,8033700,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726
138930,BNK금융지주,442.00,8256560,8031140,0.0086,KODEX_200ESG,KODEX_200ESG,0.008606885508406726
032640,LG유플러스,495.00,7969500,7578450,0.008100000000000001,KODEX_200ESG,KODEX_200ESG,0.008106485188150521
010060,OCI홀딩스,38.00,6794400,7307400,0.0078000000000000005,KODEX_200ESG,KODEX_200ESG,0.0078062449959967984
021240,코웨이,90.00,6615000,6561000,0.006999999999999999,KODEX_200ESG,KODEX_200ESG,0.007005604483586869
051900,LG생활건강,25.00,6187500,6050000,0.006500000000000001,KODEX_200ESG,KODEX_200ESG,0.0065052041633306655
175330,JB금융지주,191.00,5940100,5682250,0.0060999999999999995,KODEX_200ESG,KODEX_200ESG,0.0061048839071257
326030,SK바이오팜,58.00,5817400,5608600,0.006,KODEX_200ESG,KODEX_200ESG,0.00600480384307446
011790,SKC,55.00,5428500,5252500,0.005600000000000001,KODEX_200ESG,KODEX_200ESG,0.005604483586869497
375500,DL이앤씨,73.00,4803400,5051600,0.0054,KODEX_200ESG,KODEX_200ESG,0.005404323458767014
336260,두산퓨얼셀,139.00,5302850,4976200,0.0053,KODEX_200ESG,KODEX_200ESG,0.005304243394715772
192820,코스맥스,25.00,5125000,4792500,0.0051,KODEX_200ESG,KODEX_200ESG,0.005104083266613291
097950,CJ제일제당,22.00,4719000,4763000,0.0051,KODEX_200ESG,KODEX_200ESG,0.005104083266613291
139130,iM금융지주,272.00,4806240,4572320,0.0049,KODEX_200ESG,KODEX_200ESG,0.004903923138510809
017800,현대엘리베이터,52.00,4529200,4414800,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
139480,이마트,45.00,4500000,4410000,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
001450,현대해상,140.00,4403000,4340000,0.004699999999999999,KODEX_200ESG,KODEX_200ESG,0.004703763010408326
251270,넷마블,87.00,4541400,4315200,0.0046,KODEX_200ESG,KODEX_200ESG,0.004603682946357086
