종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
000720,현대건설,150.00,22470000,22290000,2.39,KODEX_200ESG
402340,SK스퀘어,39.00,21216000,19851000,2.13,KODEX_200ESG
010120,LS ELECTRIC,24.00,19224000,18600000,1.99,KODEX_200ESG
055550,신한지주,191.00,17858500,17209100,1.85,KODEX_200ESG
105560,KB금융,118.00,17959600,17180800,1.84,KODEX_200ESG
005380,현대차,36.00,17820000,16884000,1.81,KODEX_200ESG
000660,SK하이닉스,19.00,17518000,16653500,1.79,KODEX_200ESG
009150,삼성전기,38.00,16492000,16416000,1.76,KODEX_200ESG
017670,SK텔레콤,209.00,16699100,16302000,1.75,KODEX_200ESG
086790,하나금융지주,146.00,16118400,15622000,1.68,KODEX_200ESG
005490,POSCO홀딩스,45.00,15435000,15367500,1.65,KODEX_200ESG
005930,삼성전자,87.00,15633900,15312000,1.64,KODEX_200ESG
316140,우리금융지주,455.00,15288000,14719250,1.58,KODEX_200ESG
028260,삼성물산,55.00,14795000,14272500,1.53,KODEX_200ESG
034730,SK,44.00,14696000,14256000,1.53,KODEX_200ESG
032830,삼성생명,65.00,14495000,14121250,1.51,KODEX_200ESG
005830,DB손해보험,86.00,14869400,14121200,1.51,KODEX_200ESG
267260,HD현대일렉트릭,16.00,14640000,13984000,1.50,KODEX_200ESG
000270,기아,90.00,14022000,13554000,1.45,KODEX_200ESG
086280,현대글로비스,63.00,14584500,13545000,1.45,KODEX_200ESG
000150,두산,12.00,14436000,13416000,1.44,KODEX_200ESG
096770,SK이노베이션,117.00,13033800,13162500,1.41,KODEX_200ESG
028050,삼성E&A,392.00,12975200,13112400,1.41,KODEX_200ESG
006400,삼성SDI,31.00,12570500,12756500,1.37,KODEX_200ESG
016360,삼성증권,131.00,12785600,12366400,1.33,KODEX_200ESG
207940,삼성바이오로직스,8.00,12848000,12256000,1.31,KODEX_200ESG
267250,HD현대,50.00,12875000,12200000,1.31,KODEX_200ESG
030200,KT,200.00,12160000,12000000,1.29,KODEX_200ESG
323410,카카오뱅크,493.00,12152450,11955250,1.28,KODEX_200ESG
035420,NAVER,57.00,12112500,11770500,1.26,KODEX_200ESG
003230,삼양식품,10.00,11830000,11740000,1.26,KODEX_200ESG
138040,메리츠금융지주,102.00,11872800,11689200,1.25,KODEX_200ESG
011200,HMM,603.00,11854980,11680110,1.25,KODEX_200ESG
003670,포스코퓨처엠,53.00,11077000,11368500,1.22,KODEX_200ESG
068270,셀트리온,55.00,11330000,11055000,1.19,KODEX_200ESG
066570,LG전자,102.00,11424000,11016000,1.18,KODEX_200ESG
005940,NH투자증권,356.00,12193000,11000400,1.18,KODEX_200ESG
